comparison,method,method_display,budget_steps,metric,metric_display,kind,direction,proposed_mean,baseline_mean,delta,ci_low,ci_high,raw_p,holm_p,favorable_cross_seed_pairs,total_cross_seed_pairs,favorable_ci,confirmatory,strict_superiority
proposed_minus_lagrangian,lagrangian,MAPPO-Lagrangian,1000000,progress,Goal progress,value,higher,2.3595063316774905,-1.4877112283138558,3.8472175599913463,3.64185664421461,4.052972557288699,4.9999750001249995e-06,nan,9,9,True,False,
proposed_minus_lagrangian,lagrangian,MAPPO-Lagrangian,1000000,objective_s,Objective/s,value,higher,-0.5637748352781808,-4.0049113028228875,3.4411364675447067,3.1974078640752506,3.674263765240569,4.9999750001249995e-06,nan,9,9,True,False,
proposed_minus_lagrangian,lagrangian,MAPPO-Lagrangian,1000000,risk_065,Risk <0.65 m,rate,lower,0.21787327627199238,0.10152163575844035,0.11635164051355203,0.08273857287208747,0.1516286257727057,4.9999750001249995e-06,nan,0,9,False,False,
proposed_minus_lagrangian,lagrangian,MAPPO-Lagrangian,1000000,risk_100,Risk <1.0 m,rate,lower,0.4904451973371374,0.28508380884450785,0.20536138849262953,0.14246017593913451,0.2676979315263908,4.9999750001249995e-06,nan,0,9,False,False,
proposed_minus_mat,mat,MAT,1000000,success,Success,rate,higher,0.9127604166666666,0.00390625,0.9088541666666666,0.8763020833333334,0.9401041666666666,4.9999750001249995e-06,nan,9,9,True,False,
proposed_minus_mat,mat,MAT,1000000,collision,Collision,rate,lower,0.07421875,0.5078125,-0.43359375,-0.6692708333333334,-0.11458333333333333,4.9999750001249995e-06,nan,9,9,True,False,
proposed_minus_mat,mat,MAT,1000000,deadlock,Deadlock,rate,lower,0.013020833333333334,0.48828125,-0.4752604166666667,-0.79296875,-0.24479166666666666,4.9999750001249995e-06,nan,9,9,True,False,
proposed_minus_mat,mat,MAT,1000000,progress,Goal progress,value,higher,2.3595063316774905,-1.2199357243953273,3.5794420560728177,2.1991273277482626,4.4216517651914256,4.9999750001249995e-06,nan,9,9,True,False,
proposed_minus_mat,mat,MAT,1000000,objective_s,Objective/s,value,higher,-0.5637748352781808,-4.279822988722429,3.7160481534442478,3.3813514165122265,3.9785194466207274,4.9999750001249995e-06,nan,9,9,True,False,
proposed_minus_mat,mat,MAT,1000000,risk_065,Risk <0.65 m,rate,lower,0.21787327627199238,0.2893188302425107,-0.07144555397051833,-0.4319287179029957,0.15107881597717548,7.499962500187499e-05,nan,3,9,False,False,
proposed_minus_mat,mat,MAT,1000000,risk_100,Risk <1.0 m,rate,lower,0.4904451973371374,0.4983208511650024,-0.007875653827865037,-0.34137244412743684,0.25597360912981454,0.8420507897460513,nan,3,9,False,False,
proposed_minus_hatrpo,hatrpo,HATRPO,1000000,success,Success,rate,higher,0.9127604166666666,0.0,0.9127604166666666,0.8828125,0.94140625,4.9999750001249995e-06,nan,9,9,True,False,
proposed_minus_hatrpo,hatrpo,HATRPO,1000000,collision,Collision,rate,lower,0.07421875,0.7877604166666666,-0.7135416666666666,-0.7578125,-0.6666666666666666,4.9999750001249995e-06,nan,9,9,True,False,
proposed_minus_hatrpo,hatrpo,HATRPO,1000000,deadlock,Deadlock,rate,lower,0.013020833333333334,0.21223958333333334,-0.19921875,-0.23958333333333334,-0.15885416666666666,4.9999750001249995e-06,nan,9,9,True,False,
proposed_minus_hatrpo,hatrpo,HATRPO,1000000,progress,Goal progress,value,higher,2.3595063316774905,-1.3419993774732575,3.701505709150748,3.5059279863219617,3.890298908569282,4.9999750001249995e-06,nan,9,9,True,False,
