method,budget_steps,training_seed,success,collision,deadlock,progress,objective_s,risk_065,risk_100
ippo,5000000,260001,0.24609375,0.15625,0.59765625,2.1513267459813505,-1.1655283718558918,0.48011768901569185,0.7671629814550642
ippo,5000000,260002,0.0078125,0.23828125,0.75390625,0.483355320408009,-1.931382957364049,0.25762303851640517,0.5884450784593438
lagrangian,1000000,260000,0.00390625,0.6484375,0.34765625,-1.4426202409667894,-4.194254227400934,0.09704885877318117,0.2809825249643366
lagrangian,1000000,260001,0.0,0.65625,0.34375,-1.5100964716402814,-3.7639043033617945,0.11153708987161198,0.2842368045649073
lagrangian,1000000,260002,0.00390625,0.6484375,0.34765625,-1.5104169723344967,-4.056575377705936,0.09597895863052781,0.29003209700427957
lagrangian,3000000,260000,0.0078125,0.69921875,0.29296875,-1.0763317950768396,-3.9933412457963957,0.14938480741797433,0.3935449358059914
lagrangian,3000000,260001,0.0,0.69140625,0.30859375,-1.345239038928412,-3.8612974938766014,0.08973787446504992,0.24607703281027105
lagrangian,3000000,260002,0.00390625,0.66796875,0.328125,-1.2708257673075423,-3.550079517703421,0.14260877318116974,0.4035752496433666
lagrangian,5000000,260000,0.00390625,0.55078125,0.4453125,-1.5585885999025777,-3.7001782507725336,0.12009629101283881,0.32752318116975754
lagrangian,5000000,260001,0.00390625,0.57421875,0.421875,-0.9821914179483429,-3.120559258910709,0.18108059914407987,0.46839336661911557
lagrangian,5000000,260002,0.0078125,0.60546875,0.38671875,-1.678716775146313,-3.6903486269863546,0.06628922967189729,0.19855563480741797
mat,1000000,260000,0.00390625,0.60546875,0.390625,-1.9047220702050254,-4.515071155814262,0.08585948644793152,0.243268544935806
mat,1000000,260001,0.0,0.7421875,0.2578125,0.21708060998935252,-4.068534575551846,0.6607970756062767,0.8448644793152639
mat,1000000,260002,0.0078125,0.17578125,0.81640625,-1.972165712970309,-4.255863234801178,0.12129992867332381,0.4068295292439372
mat,3000000,260000,0.00390625,0.60546875,0.390625,-1.9047220702050254,-4.515071155814262,0.08585948644793152,0.243268544935806
mat,3000000,260001,0.00390625,0.60546875,0.390625,-1.9047220702050254,-4.515071155814262,0.08585948644793152,0.243268544935806
mat,3000000,260002,0.00390625,0.60546875,0.390625,-1.9047220702050254,-4.515071155814262,0.08585948644793152,0.243268544935806
mat,5000000,260000,0.00390625,0.60546875,0.390625,-1.9047220702050254,-4.515071155814262,0.08585948644793152,0.243268544935806
mat,5000000,260001,0.00390625,0.60546875,0.390625,-1.9047220702050254,-4.515071155814262,0.08585948644793152,0.243268544935806
mat,5000000,260002,0.00390625,0.63671875,0.359375,-1.7808325387304649,-4.6192851496433605,0.09049572039942938,0.23537803138373753
hatrpo,1000000,260000,0.0,0.8046875,0.1953125,-1.3198517517885193,-4.824857633075198,0.2848609129814551,0.5408791012838803
hatrpo,1000000,260001,0.0,0.78125,0.21875,-1.3180162388598546,-4.8238291658540735,0.3263195435092725,0.5829172610556348
hatrpo,1000000,260002,0.0,0.77734375,0.22265625,-1.3881301417713985,-4.767182916546482,0.2867332382310984,0.5520684736091298
hatrpo,3000000,260000,0.0,0.87890625,0.12109375,-1.5917068117996678,-4.896943373473986,0.3295292439372325,0.5875089158345221
hatrpo,3000000,260001,0.0,0.9140625,0.0859375,-1.459418334881775,-5.359784009014614,0.3062589158345221,0.577478601997147
hatrpo,3000000,260002,0.0,0.86328125,0.13671875,-1.483191782492213,-5.012951899829433,0.2759004992867332,0.5515335235378032
hatrpo,5000000,260000,0.0,0.77734375,0.22265625,-1.4581203929847106,-4.8395201603749625,0.327968972895863,0.5852799572039944
hatrpo,5000000,260001,0.0,0.921875,0.078125,-1.5989317748462781,-5.585351039351556,0.287179029957204,0.5524251069900142
hatrpo,5000000,260002,0.0,0.859375,0.140625,-1.680846395320259,-5.182084834850244,0.2834343794579173,0.5603156205420827
