scenario,scenario_description,method,mode,avg_true_objective_mean,agent_success_rate_mean,risk_rate_dist_lt_0_65_mean,risk_rate_dist_lt_1_0_mean,agent_deadlock_rate_mean,final_goal_dist_mean_mean,collision_frame_rate_mean,n_runs,episodes_mean,success_percent,risk_lt_0_65_percent,risk_lt_1_0_percent,deadlock_percent,objective
obstacle_4,"4 agents, static obstacles",MAPPO-Lagrangian,official_mappo_lagrangian,-2.5089773848679324,0.051250000000000004,0.008341584158415842,0.08034653465346535,0.94875,4.246887453347444,0.0,4,200.0,5.125,0.8341584158415842,8.034653465346535,94.875,-2.5089773848679324
obstacle_4,"4 agents, static obstacles",IPPO,official_ippo,-2.5136541243937707,0.038125,0.004814356435643564,0.08311881188118811,0.961875,4.161955554932356,4.950495049504951e-05,4,200.0,3.8125,0.4814356435643564,8.31188118811881,96.1875,-2.5136541243937707
obstacle_4,"4 agents, static obstacles",MAT,official_mat,-3.1757749730074716,0.052500000000000005,0.01035891089108911,0.06952970297029704,0.9475,4.393808063566684,0.0,4,200.0,5.250000000000001,1.035891089108911,6.952970297029704,94.75,-3.1757749730074716
obstacle_4,"4 agents, static obstacles",HATRPO,harl_hatrpo,-2.4483350224645903,0.0375,0.008762376237623763,0.0807920792079208,0.9625,4.130013546347618,3.7128712871287135e-05,4,200.0,3.75,0.8762376237623763,8.07920792079208,96.25,-2.4483350224645903
obstacle_4,"4 agents, static obstacles",SA-RB-GCA,sa_rb_gca_expert_pool_learned_graph_gate_shielded_rb_gca_v4_success_pareto_full_ff1.0_fc0.25_ft0.5_fo0.2_fmax0.25,-2.7787101590941043,0.0496875,0.01344059405940594,0.08576732673267326,0.9503125,4.138316832184792,1.2376237623762377e-05,4,200.0,4.96875,1.3440594059405941,8.576732673267326,95.03125,-2.7787101590941043
obstacle_8,"8 agents, static obstacles",MAPPO,official_mappo,-2.472588966381294,0.05984375,0.03305693069306931,0.27129950495049504,0.94015625,4.220157421827317,3.7128712871287135e-05,4,200.0,5.984375,3.3056930693069306,27.129950495049503,94.015625,-2.472588966381294
obstacle_8,"8 agents, static obstacles",MAPPO-Lagrangian,official_mappo_lagrangian,-2.240687941433527,0.0490625,0.03709158415841584,0.2774752475247525,0.9509375,4.166975269019604,1.2376237623762377e-05,4,200.0,4.90625,3.709158415841584,27.74752475247525,95.09375,-2.240687941433527
obstacle_8,"8 agents, static obstacles",IPPO,official_ippo,-1.957994558714599,0.0534375,0.015866336633663367,0.28527227722772275,0.9465625,4.038032806515694,3.7128712871287135e-05,4,200.0,5.34375,1.5866336633663367,28.527227722772274,94.65625,-1.957994558714599
obstacle_8,"8 agents, static obstacles",MAT,official_mat,-2.686630996187106,0.04453125,0.02584158415841584,0.2864851485148515,0.9554687500000001,4.066995238661766,2.4752475247524754e-05,4,200.0,4.453125,2.5841584158415842,28.648514851485153,95.54687500000001,-2.686630996187106
obstacle_8,"8 agents, static obstacles",HATRPO,harl_hatrpo,-2.7095817434137444,0.04828125,0.051559405940594064,0.298230198019802,0.9517187500000001,4.269226927161217,3.7128712871287135e-05,4,200.0,4.828125,5.155940594059406,29.823019801980198,95.171875,-2.7095817434137444
obstacle_8,"8 agents, static obstacles",SA-RB-GCA,sa_rb_gca_expert_pool_learned_graph_gate_shielded_rb_gca_v4_success_pareto_full_ff1.0_fc0.25_ft0.5_fo0.2_fmax0.25,-2.157250446884833,0.060156249999999994,0.01910891089108911,0.24408415841584158,0.9398437500000001,4.108352687358856,0.0,4,200.0,6.015624999999999,1.9108910891089108,24.40841584158416,93.98437500000001,-2.157250446884833
