method,display,training_seed,environment_seed_count,success,collision,deadlock,progress,objective_s,risk_065,risk_100,moving,path_length,final_goal_distance,transit_risk_065,transit_risk_100,success_training_seed_sd,collision_training_seed_sd,deadlock_training_seed_sd,progress_training_seed_sd,objective_s_training_seed_sd,risk_065_training_seed_sd,risk_100_training_seed_sd,moving_training_seed_sd,path_length_training_seed_sd,final_goal_distance_training_seed_sd,transit_risk_065_training_seed_sd,transit_risk_100_training_seed_sd
ippo,IPPO,240002,32,0.00390625,0.4609375,0.53515625,-0.9683289107633755,-2.86723883745187,0.1958808844507846,0.48136590584878747,0.9971023537803139,12.260396722293542,4.520451284945011,0.007552985530874261,0.022088980028530672,,,,,,,,,,,,
ippo,IPPO,all,32,0.0026041666666666665,0.4791666666666667,0.5182291666666666,-1.176442550534072,-3.1618495573774474,0.21851224441274372,0.4935360199714694,0.9968497384688542,14.136635713767129,4.7290343567729,0.00877891277766456,0.023637575572311664,0.002255274489021976,0.019661027175184243,0.02004531812283939,0.45378983002264456,0.3571834266902303,0.025978618820102,0.02471628696541318,0.00036307631130735245,1.6940254596746884,0.4540598162096179,0.0014915297813282355,0.0017427360795433373
lagrangian,MAPPO-Lagrangian,240000,32,0.0,0.5703125,0.4296875,-1.5127243705792353,-3.917254461302674,0.14608594864479316,0.3315798858773181,0.9949179743223966,24.739881888488405,5.067584112286568,0.005602646729162421,0.014074281638475647,,,,,,,,,,,,
lagrangian,MAPPO-Lagrangian,240001,32,0.0,0.70703125,0.29296875,-1.2099102329229936,-4.109747828441629,0.13935449358059915,0.323154422253923,0.9963445078459345,25.097554531135643,4.765939749777317,0.005449803851640513,0.014067913185245568,,,,,,,,,,,,
lagrangian,MAPPO-Lagrangian,240002,32,0.00390625,0.53125,0.46484375,-1.8775902934139594,-3.958245471320602,0.1088623395149786,0.3415210413694722,0.9934914407988588,25.387147106827985,5.431926682591438,0.004101283880171184,0.014220756062767475,,,,,,,,,,,,
lagrangian,MAPPO-Lagrangian,all,32,0.0013020833333333333,0.6028645833333334,0.3958333333333333,-1.5334082989720628,-3.995082587021635,0.13143426058012364,0.3320851165002378,0.9949179743223966,25.074861175484013,5.088483514885108,0.0050512448203247065,0.014120983628829563,0.002255274489021976,0.09230108645024626,0.09080105922714136,0.3343202573351257,0.10139602515878796,0.019835494378731004,0.009193727096268752,0.0014265335235378873,0.32422878806653593,0.33348498833009277,0.0008262321569421735,8.646411527077049e-05
mat,MAT,240000,32,0.00390625,0.60546875,0.390625,-1.9047220702050254,-4.508630255449334,0.08585948644793152,0.243268544935806,0.9931348074179742,32.24977266012193,5.457952260971069,0.0032797534134909314,0.009842444467087832,,,,,,,,,,,,
mat,MAT,240001,32,0.0,0.62109375,0.37890625,-0.9329713572515175,-3.606288865544808,0.25869293865905846,0.5290656205420827,0.9971469329529244,13.255962886082795,4.486431814730167,0.01087094966374567,0.026581923782351743,,,,,,,,,,,,
mat,MAT,240002,32,0.00390625,0.5234375,0.47265625,-1.8657786244293675,-4.548434536147729,0.17492867332382311,0.3539586305278174,0.9944276034236804,19.236172943553086,5.420493572950363,0.006779218463419605,0.015219011106582433,,,,,,,,,,,,
mat,MAT,all,32,0.0026041666666666665,0.5833333333333334,0.4140625,-1.5678240172953035,-4.221117885713957,0.1731603661436044,0.37543093200190203,0.994903114598193,21.580636163252603,5.121625882883866,0.006976640513552069,0.017214459785340672,0.002255274489021976,0.05245634655855126,0.05108084699461727,0.5501432295009396,0.53282937064514,0.0864302940728347,0.14410338963473568,0.0020478942806855744,9.711518072602706,0.5504129508744257,0.003799446897494329,0.008546280097721204
